n_items,n_nests,max_iter,best_fitness,avg_time,std_dev
100,10,100,2612,0.0044731,8.90656e-05
500,10,100,0,0.0212057,0.000287447
1000,10,100,0,0.0421653,0.000308991
1000,15,100,0,0.0462194,0.000756699
1000,20,100,0,0.0545152,0.00195133
